LoanID,ClienteID,FechaDesembolso,ImporteAprobado,RiesgoAsignado
L02393,C01137,2025-02-02,76057,A
L02394,C02811,2024-03-31,34151,B
L02395,C00476,2025-12-09,141553,A
L02396,C02811,2025-08-03,224987,B
L02397,C01327,2025-04-10,29265,B
L02398,C01020,2024-08-07,290800,C
L02399,C01837,2025-02-22,14304,A
L02400,C04257,2025-01-13,50911,C
L02401,C02449,2025-12-26,48013,B
L02402,C04294,2025-03-22,82981,D
L02403,C01284,2024-05-25,45314,A
L02404,C00660,2024-08-20,290001,A
L02405,C02011,2025-01-05,164966,C
L02406,C00399,2024-08-21,253209,A
L02407,C01734,2025-12-26,202152,B
L02408,C02126,2025-01-01,44420,D
L02409,C02172,2025-04-25,126015,B
L02410,C00075,2025-07-26,32734,A
L02411,C04698,2024-12-28,237004,A
L02412,C03472,2025-08-12,41219,B
L02413,C00837,2025-05-25,243105,B
L02414,C00500,2024-04-04,71972,A
L02415,C00138,2024-08-03,127775,C
L02416,C02098,2025-12-25,164413,B
L02417,C03697,2025-12-12,232622,C
L02418,C01886,2025-06-26,209159,A
L02419,C02758,2024-05-14,184503,C
L02420,C03921,2024-03-23,107715,D
L02421,C01901,2025-01-25,271985,C
L02422,C02611,2024-02-16,218710,B
L02423,C03987,2025-01-26,62804,A
L02424,C01450,2025-12-18,233407,A
L02425,C00547,2025-01-19,57006,B
L02426,C04677,2025-01-15,265888,A
L02427,C02004,2024-03-17,183943,C
L02428,C02097,2024-09-15,135328,D
L02429,C00704,2025-08-26,249056,A
L02430,C02404,2025-02-02,19101,A
L02431,C01626,2024-04-09,237856,D
L02432,C03332,2025-05-15,18261,B
L02433,C04734,2025-01-17,149281,B
L02434,C02979,2025-12-07,33647,C
L02435,C04737,2024-07-10,144293,A
L02436,C02840,2025-08-02,30557,D
L02437,C03385,2025-08-24,234606,C
L02438,C02660,2024-12-10,108585,A
L02439,C01862,2024-01-10,137323,A
L02440,C02857,2024-09-20,37588,D
L02441,C00686,2024-09-24,190564,B
L02442,C04284,2025-09-21,11889,A
L02443,C01620,2025-07-24,252723,A
L02444,C04644,2024-07-13,296290,A
L02445,C01432,2025-07-15,57318,D
L02446,C00876,2025-02-10,42638,B
L02447,C04714,2024-10-22,6147,B
L02448,C02462,2024-04-06,90770,D
L02449,C01366,2025-04-06,69347,B
L02450,C01244,2025-09-30,283147,B
L02451,C04999,2024-03-27,209026,D
L02452,C00163,2024-03-17,284854,A
L02453,C01975,2025-12-16,229381,D
L02454,C03292,2025-04-27,219174,A
L02455,C00270,2024-05-25,117286,B
L02456,C00632,2025-10-22,244192,A
L02457,C00906,2024-04-20,25655,D
L02458,C03472,2025-10-02,45094,B
L02459,C03254,2025-11-08,177522,A
L02460,C02015,2024-10-23,253568,A
L02461,C01642,2025-03-01,123116,B
L02462,C00205,2025-10-10,161281,B
L02463,C00582,2024-11-29,51316,B
L02464,C00841,2025-06-06,254259,C
L02465,C01720,2025-08-05,23556,C
L02466,C02644,2025-11-01,164034,B
L02467,C02298,2025-12-28,107211,B
L02468,C00875,2025-06-21,222691,A
L02469,C00690,2024-06-10,59376,D
L02470,C04001,2025-03-05,280915,A
L02471,C03142,2025-09-05,161406,A
L02472,C01423,2024-03-09,137976,B
L02473,C00672,2024-05-12,75805,D
L02474,C01172,2024-07-07,35968,B
L02475,C03727,2025-12-23,6650,C
L02476,C00944,2025-11-08,279611,A
L02477,C01450,2025-07-26,106495,B
L02478,C03738,2024-10-05,103331,A
L02479,C02540,2025-03-05,182972,C
L02480,C03960,2025-09-16,224252,B
L02481,C04992,2025-06-25,271501,B
L02482,C04261,2024-06-09,278009,A
L02483,C02362,2025-03-28,119559,B
L02484,C03653,2024-06-18,262548,A
L02485,C03671,2025-11-28,66039,A
L02486,C01754,2024-02-26,244028,A
L02487,C02353,2024-08-27,9428,A
L02488,C01939,2024-12-23,254296,A
L02489,C00371,2024-07-19,93783,A
L02490,C04949,2025-03-19,251941,A
L02491,C04480,2024-10-28,118823,B
L02492,C01932,2024-04-15,119039,B
L02493,C00425,2024-04-10,166636,C
L02494,C04725,2024-04-06,246860,B
L02495,C00895,2025-10-26,123410,A
L02496,C00598,2024-01-29,246889,C
L02497,C03063,2025-05-20,138714,A
L02498,C02337,2025-10-26,149921,C
L02499,C04689,2025-03-13,288358,A
L02500,C01688,2025-01-13,174298,B
L02501,C00573,2024-03-13,227763,B
L02502,C02091,2024-09-10,158594,D
L02503,C03670,2025-05-30,261918,A
L02504,C04273,2025-07-03,11680,D
L02505,C04625,2024-01-20,122028,B
L02506,C01634,2025-09-16,79955,D
L02507,C01518,2025-06-18,185079,B
L02508,C04294,2025-02-24,121416,B
L02509,C02658,2025-03-21,54353,C
L02510,C03649,2024-05-15,109289,C
L02511,C04949,2025-05-19,224167,B
L02512,C03589,2024-10-27,49233,B
L02513,C01538,2025-08-31,267070,B
L02514,C03138,2024-02-02,186937,B
L02515,C00098,2025-10-08,143944,C
L02516,C03216,2024-10-04,12839,A
L02517,C04531,2024-05-12,151724,A
L02518,C04733,2025-06-10,169592,C
L02519,C03751,2024-05-05,185338,B
L02520,C03158,2024-12-10,249433,A
L02521,C04684,2024-01-17,175165,B
L02522,C00344,2025-07-15,188042,C
L02523,C04667,2025-10-08,54620,A
L02524,C00611,2025-09-21,267569,B
L02525,C01728,2025-01-12,55727,C
L02526,C02291,2024-02-29,211665,B
L02527,C01855,2025-09-28,186057,B
L02528,C02609,2025-04-11,233411,A
L02529,C02080,2025-09-19,183156,C
L02530,C02325,2025-01-25,90623,C
L02531,C04628,2025-11-15,268552,B
L02532,C01178,2024-07-05,221473,A
L02533,C01092,2025-05-12,60337,B
L02534,C04980,2025-08-22,240197,B
L02535,C02792,2025-12-15,244738,D
L02536,C01750,2024-12-26,44612,A
L02537,C02676,2025-03-24,175235,A
L02538,C00782,2025-11-24,132948,A
L02539,C03049,2025-11-10,282987,B
L02540,C02106,2024-06-29,185436,A
L02541,C03868,2024-05-09,295621,D
L02542,C04977,2024-05-28,234065,A
L02543,C04543,2025-04-16,197154,B
L02544,C02114,2025-12-21,163402,B
L02545,C03971,2025-09-14,99747,B
L02546,C01992,2025-05-14,53114,D
L02547,C01068,2025-10-10,200178,B
L02548,C01578,2024-12-20,147332,A
L02549,C01012,2024-07-29,299494,A
L02550,C02275,2025-10-19,177813,C
L02551,C04870,2025-08-18,103214,D
L02552,C01815,2024-01-30,133885,A
L02553,C02427,2025-07-30,88446,C
L02554,C04403,2024-01-24,136912,B
L02555,C04875,2025-12-23,279443,B
L02556,C02552,2024-08-09,226113,D
L02557,C03658,2025-08-24,240302,A
L02558,C00008,2025-09-09,144779,C
L02559,C02556,2025-11-14,114958,B
L02560,C00476,2025-08-11,242051,B
L02561,C02212,2025-08-02,112643,B
L02562,C00485,2025-02-04,93377,C
L02563,C04655,2025-08-26,105898,A
L02564,C02286,2025-05-26,238032,B
L02565,C04564,2024-03-28,234234,C
L02566,C03526,2025-04-09,80276,A
L02567,C03340,2024-02-19,121774,A
L02568,C02823,2024-04-12,290716,B
L02569,C04944,2025-01-02,212105,A
L02570,C02925,2025-05-06,180915,C
L02571,C00259,2025-07-11,40357,C
L02572,C00283,2025-11-21,23983,A
L02573,C01899,2024-09-24,40276,C
L02574,C04136,2025-01-31,266728,B
L02575,C02977,2024-11-15,195555,B
L02576,C02268,2025-06-03,219185,A
L02577,C03201,2025-03-24,276708,D
L02578,C00613,2025-04-20,278249,B
L02579,C00688,2025-08-12,25056,A
L02580,C03691,2024-08-27,68565,C
L02581,C00613,2024-09-14,118097,B
L02582,C02308,2025-12-08,52689,C
L02583,C03014,2025-10-04,299279,D
L02584,C01782,2025-01-24,241557,A
L02585,C02592,2024-12-08,299956,C
L02586,C02697,2025-01-21,121773,D
L02587,C03959,2025-01-28,274919,B
L02588,C00575,2025-11-13,228554,C
L02589,C01911,2025-10-20,146779,B
L02590,C03605,2024-09-26,280516,A
L02591,C00670,2024-05-28,111252,B
L02592,C04365,2025-01-14,197598,D
L02593,C01284,2024-01-28,58475,A
L02594,C00924,2024-05-28,126314,B
L02595,C01126,2025-02-23,128502,D
L02596,C01530,2024-10-06,62201,A
L02597,C01595,2024-06-30,231886,B
L02598,C00247,2024-06-14,61243,B
L02599,C03712,2024-01-17,209824,A
L02600,C01561,2024-05-29,170065,A
L02601,C02401,2024-12-04,170088,A
L02602,C02244,2024-02-14,161426,B
L02603,C03865,2025-05-16,53637,A
L02604,C01940,2024-07-07,124714,B
L02605,C03070,2025-10-12,131580,A
L02606,C00227,2024-03-01,47673,A
L02607,C03548,2024-10-20,147855,D
L02608,C00265,2024-02-02,69694,A
L02609,C01396,2024-10-25,116692,B
L02610,C03558,2025-02-18,237514,A
L02611,C00646,2025-09-15,58907,A
L02612,C02991,2025-07-02,75732,C
L02613,C01900,2025-03-06,287296,B
L02614,C02505,2025-05-09,13072,B
L02615,C02773,2024-04-09,86501,B
L02616,C01155,2024-01-23,180759,A
L02617,C00588,2025-02-23,233598,A
L02618,C04572,2025-02-27,26942,B
L02619,C01822,2025-05-01,97379,B
L02620,C00986,2025-12-30,272634,B
L02621,C04080,2024-03-29,157791,A
L02622,C03349,2024-07-27,286038,A
L02623,C03832,2024-09-27,256985,C
L02624,C01242,2025-02-09,203354,A
L02625,C00190,2025-12-21,226679,B
L02626,C00981,2024-10-04,235009,A
L02627,C01699,2024-07-24,192204,D
L02628,C01716,2025-08-12,214497,D
L02629,C02594,2024-11-23,286248,B
L02630,C04137,2025-09-01,119863,B
L02631,C04434,2024-12-01,13152,C
L02632,C01099,2025-08-28,53486,B
L02633,C02327,2025-08-14,221349,C
L02634,C03248,2024-02-07,223962,B
L02635,C00896,2024-08-15,230011,A
L02636,C01675,2025-04-27,244214,D
L02637,C02910,2024-05-13,109983,C
L02638,C00931,2025-12-08,110652,B
L02639,C04385,2025-01-24,76420,D
L02640,C00724,2025-09-04,82848,C
L02641,C02941,2025-02-28,243204,A
L02642,C01090,2025-08-09,221606,B
L02643,C04579,2025-05-24,43235,B
L02644,C00936,2025-12-20,115629,C
L02645,C02296,2025-08-17,64961,A
L02646,C00156,2025-03-02,257139,A
L02647,C01071,2025-10-16,55356,A
L02648,C01959,2025-04-18,109753,A
L02649,C02502,2025-07-21,292067,A
L02650,C04220,2024-12-26,93478,A
L02651,C03831,2024-07-29,38750,C
L02652,C00855,2024-06-27,249365,A
L02653,C00640,2024-02-27,257415,B
L02654,C02239,2024-03-13,289127,B
L02655,C01603,2024-08-02,292172,B
L02656,C00442,2024-03-13,188118,A
L02657,C04629,2025-04-11,269378,A
L02658,C01337,2024-09-27,216881,B
L02659,C03701,2025-05-13,209239,B
L02660,C00949,2024-12-19,259115,A
L02661,C03374,2024-08-21,121135,A
L02662,C00460,2024-11-14,148133,C
L02663,C04647,2024-01-19,54253,B
L02664,C00393,2025-09-16,131934,D
L02665,C03939,2025-07-28,94354,C
L02666,C01788,2025-01-06,49667,A
L02667,C04941,2024-07-02,117042,C
L02668,C02258,2024-10-03,69065,A
L02669,C01139,2025-11-04,35638,A
L02670,C03809,2024-05-24,87455,C
L02671,C04742,2025-10-19,233088,A
L02672,C02455,2024-03-21,166769,A
L02673,C01467,2024-11-17,88620,D
L02674,C03675,2025-03-10,129343,A
L02675,C01378,2024-02-12,231909,A
L02676,C02598,2024-11-08,12114,A
L02677,C00142,2024-10-19,35550,B
L02678,C02660,2025-11-18,273636,B
L02679,C04597,2024-03-09,238720,C
L02680,C00840,2024-02-25,269115,D
L02681,C03619,2025-09-22,182422,B
L02682,C03918,2024-07-22,145716,A
L02683,C00596,2025-02-23,227777,C
L02684,C01905,2025-07-20,148606,B
L02685,C00281,2025-07-03,148840,B
L02686,C00424,2024-08-30,289769,A
L02687,C04366,2024-07-19,295804,A
L02688,C04250,2025-04-18,211248,B
L02689,C01751,2025-06-10,25032,B
L02690,C04758,2025-10-17,204451,A
L02691,C01968,2024-03-17,29357,A
L02692,C04089,2025-04-22,267641,A
L02693,C04179,2025-03-15,154905,A
L02694,C02947,2024-09-19,192672,A
L02695,C01450,2024-07-03,136098,B
L02696,C02332,2024-02-24,279252,C
L02697,C02221,2024-11-03,19470,B
L02698,C03790,2025-05-30,296929,B
L02699,C02811,2024-10-25,287170,A
L02700,C04729,2025-07-05,180330,A
L02701,C01532,2024-08-17,230882,B
L02702,C04883,2025-01-11,105319,A
L02703,C02991,2024-10-12,91987,D
L02704,C04494,2024-05-17,80443,A
L02705,C01144,2025-04-22,117238,C
L02706,C00934,2025-09-06,96838,A
L02707,C01461,2024-01-07,289949,C
L02708,C02724,2025-11-06,19248,B
L02709,C02513,2025-02-22,206075,C
L02710,C00286,2025-04-16,161456,B
L02711,C00265,2025-02-23,138968,B
L02712,C02368,2024-10-02,91175,D
L02713,C03448,2025-07-14,192104,A
L02714,C04917,2025-08-30,225070,C
L02715,C01763,2025-07-24,219280,A
L02716,C03049,2025-11-19,52391,A
L02717,C02382,2024-03-30,116011,B
L02718,C02270,2024-10-08,230151,B
L02719,C00041,2025-07-01,263187,B
L02720,C00068,2024-06-19,278370,A
L02721,C00988,2025-09-29,21858,B
L02722,C04009,2024-12-20,246544,A
L02723,C03199,2024-07-22,192920,D
L02724,C04791,2024-10-15,117493,A
L02725,C02525,2025-04-06,175372,A
L02726,C01086,2025-08-31,177542,A
L02727,C02480,2024-06-21,161185,D
L02728,C01694,2024-10-27,244828,B
L02729,C02316,2025-08-22,188168,B
L02730,C00779,2025-06-12,27016,B
L02731,C04590,2024-05-19,262826,D
L02732,C01586,2024-10-04,22445,A
L02733,C01493,2025-10-24,283835,A
L02734,C00661,2025-05-25,210796,B
L02735,C01349,2024-12-11,161932,B
L02736,C01300,2024-05-19,165493,A
L02737,C03941,2024-04-23,168062,B
L02738,C01987,2025-08-02,11486,B
L02739,C02045,2025-05-21,207174,B
L02740,C03517,2024-12-31,272868,D
L02741,C01059,2025-11-21,134279,B
L02742,C00977,2025-09-28,75886,B
L02743,C04578,2025-01-31,215633,A
L02744,C00728,2025-10-20,98761,C
L02745,C02528,2024-04-20,145236,A
L02746,C03137,2024-12-23,238509,D
L02747,C00343,2024-08-25,119166,A
L02748,C01448,2024-01-03,37872,A
L02749,C02380,2025-12-23,225563,A
L02750,C03660,2025-02-07,290129,D
L02751,C00527,2024-01-25,93591,D
L02752,C01897,2025-05-23,213997,D
L02753,C04755,2025-11-26,24347,C
L02754,C02074,2025-04-09,21360,A
L02755,C04916,2024-03-01,281358,A
L02756,C00406,2025-05-22,236964,A
L02757,C01574,2024-05-02,265484,C
L02758,C04601,2025-05-11,19698,B
L02759,C03741,2024-02-24,165674,B
L02760,C04275,2024-06-11,121544,A
L02761,C04228,2025-11-29,282091,C
L02762,C01847,2024-02-08,57338,D
L02763,C01479,2025-11-27,27469,B
L02764,C02396,2024-03-23,142558,C
L02765,C00772,2025-12-07,77777,B
L02766,C00579,2025-06-29,24371,A
L02767,C02902,2024-04-22,242511,D
L02768,C00194,2025-02-28,168596,A
L02769,C02008,2024-08-17,248549,A
L02770,C01186,2024-10-09,132953,A
L02771,C02395,2024-10-13,289618,B
L02772,C02999,2024-06-03,215409,B
L02773,C01793,2024-06-13,112644,A
L02774,C01111,2024-06-30,183213,D
L02775,C04006,2024-08-26,120468,D
L02776,C02262,2025-10-10,9405,A
L02777,C03737,2024-12-04,269297,B
L02778,C03794,2025-05-26,292275,C
L02779,C01937,2024-09-22,286824,A
L02780,C04876,2024-07-05,221305,A
L02781,C04358,2024-02-09,189716,A
L02782,C00730,2025-05-07,105887,C
L02783,C04379,2025-11-09,106347,B
L02784,C03452,2025-01-25,223971,C
L02785,C04458,2024-09-16,24646,B
L02786,C04537,2025-10-16,21036,A
L02787,C02141,2025-12-16,11726,A
L02788,C01645,2024-06-24,107326,A
L02789,C02801,2024-11-24,223163,A
L02790,C04963,2024-07-18,282247,A
L02791,C00142,2025-12-11,166639,A
L02792,C01456,2024-07-14,131251,C
L02793,C04797,2025-08-11,109968,A
L02794,C02097,2025-06-14,290835,B
L02795,C01326,2024-03-02,125931,A
L02796,C04977,2024-11-22,283037,B
L02797,C01214,2024-10-07,86402,C
L02798,C01160,2024-08-14,85632,A
L02799,C04651,2025-09-30,217055,A
L02800,C04500,2024-02-27,24854,C
L02801,C04988,2025-04-21,223591,B
L02802,C04698,2025-01-10,202564,A
L02803,C00341,2025-12-16,62795,C
L02804,C03829,2024-08-30,291704,A
L02805,C01969,2025-01-01,94711,A
L02806,C00704,2025-05-14,111577,A
L02807,C04414,2024-09-08,120924,B
L02808,C02430,2024-11-17,222903,C
L02809,C01801,2025-01-10,125965,C
L02810,C04913,2025-02-12,187389,D
L02811,C04649,2025-12-11,219611,A
L02812,C00856,2025-05-02,252553,D
L02813,C01813,2024-12-08,240381,B
L02814,C02867,2024-08-27,267789,A
L02815,C03643,2024-05-18,38146,C
L02816,C00183,2024-05-01,253415,B
L02817,C03113,2025-02-23,88060,B
L02818,C04493,2025-07-14,156191,A
L02819,C01518,2024-10-30,18163,C
L02820,C01357,2024-04-24,226195,A
L02821,C02175,2024-12-08,223201,A
L02822,C03630,2024-09-07,35802,D
L02823,C03629,2024-01-07,57175,A
L02824,C04097,2025-12-31,15111,A
L02825,C03240,2025-08-11,115987,D
L02826,C03692,2024-06-27,196008,A
L02827,C00019,2024-05-24,70526,A
L02828,C03404,2025-02-19,130588,B
L02829,C04680,2025-10-27,26119,A
L02830,C04552,2024-04-30,197968,D
L02831,C03005,2024-05-03,131956,A
L02832,C01133,2024-05-29,107473,C
L02833,C03340,2025-01-31,225255,A
L02834,C03312,2025-01-15,60387,A
L02835,C03373,2024-01-01,228561,A
L02836,C00988,2025-11-03,178895,A
L02837,C03322,2024-08-31,91190,B
L02838,C04616,2025-02-01,240232,B
L02839,C04955,2024-09-07,52418,C
L02840,C00174,2025-07-29,53695,A
L02841,C03742,2024-10-25,133268,A
L02842,C03053,2024-10-23,152490,A
L02843,C00727,2025-05-14,31742,A
L02844,C03761,2024-04-24,215290,A
L02845,C01876,2024-01-01,53028,A
L02846,C04034,2025-07-06,82700,A
L02847,C00990,2025-11-15,274762,C
L02848,C03745,2025-08-22,73916,B
L02849,C02687,2025-04-26,225535,A
L02850,C00420,2025-09-01,85699,A
L02851,C00594,2025-08-22,281869,B
L02852,C01775,2025-05-24,177207,D
L02853,C02460,2024-11-30,75223,A
L02854,C00936,2025-04-09,182041,C
L02855,C03809,2024-05-20,275200,B
L02856,C00332,2025-08-05,75958,B
L02857,C03450,2024-05-16,196418,D
L02858,C02703,2025-09-02,231140,D
L02859,C04007,2025-10-24,17521,A
L02860,C03869,2025-11-17,15906,C
L02861,C04201,2024-06-15,262608,B
L02862,C00202,2024-12-08,73514,B
L02863,C02498,2025-02-13,248126,B
L02864,C01843,2024-03-05,167347,D
L02865,C01867,2025-08-03,17343,B
L02866,C01997,2024-03-07,213559,D
L02867,C00910,2025-03-08,85227,B
L02868,C04306,2024-02-19,122658,B
L02869,C04659,2024-11-09,239284,B
L02870,C03190,2024-11-04,297665,B
L02871,C00771,2025-08-25,239558,B
L02872,C03156,2024-04-24,170415,B
L02873,C02502,2025-07-22,20040,C
L02874,C02715,2024-12-07,101396,C
L02875,C04725,2025-06-13,162597,A
L02876,C03586,2025-10-03,43394,A
L02877,C01629,2025-05-09,95672,B
L02878,C00387,2024-09-25,114042,B
L02879,C03422,2024-03-20,87546,A
L02880,C04009,2025-03-31,68989,B
L02881,C04094,2024-10-25,44652,D
L02882,C04364,2024-07-20,82510,B
L02883,C02467,2025-05-17,210474,C
L02884,C02283,2025-11-01,262674,C
L02885,C01857,2025-12-16,88822,A
L02886,C01999,2025-10-10,151087,C
L02887,C01237,2025-04-29,61221,B
L02888,C04670,2025-08-07,156767,D
L02889,C04145,2025-07-13,291949,A
L02890,C01151,2024-01-18,29190,A
L02891,C04319,2025-04-22,126154,A
L02892,C01432,2025-05-02,12997,A
L02893,C01820,2025-03-21,129190,A
L02894,C02325,2024-12-05,35508,A
L02895,C01131,2025-06-14,243200,B
L02896,C02659,2025-09-03,15071,B
L02897,C03501,2024-04-25,109613,A
L02898,C00375,2024-03-14,91132,B
L02899,C02121,2024-09-25,186166,A
L02900,C04021,2025-09-28,128515,A
L02901,C02022,2024-04-25,183632,C
L02902,C03706,2025-11-16,50924,A
L02903,C03260,2025-11-23,228447,A
L02904,C03436,2025-10-30,54264,A
L02905,C01890,2024-06-12,72799,C
L02906,C01824,2025-08-05,226610,C
L02907,C01475,2024-08-09,43022,A
L02908,C02243,2024-05-05,171651,B
L02909,C03244,2025-10-18,279715,A
L02910,C03135,2024-06-24,87753,A
L02911,C02071,2025-10-25,274371,A
L02912,C00360,2025-11-24,46189,C
L02913,C02042,2025-01-09,248330,A
L02914,C01142,2025-05-12,177855,B
L02915,C01636,2024-03-25,105822,D
L02916,C04001,2025-01-17,90587,B
L02917,C01944,2025-09-24,164951,D
L02918,C04775,2025-10-02,295989,D
L02919,C03362,2025-04-07,15015,B
L02920,C02981,2025-03-26,219033,B
L02921,C00007,2025-06-01,157568,C
L02922,C03268,2025-11-25,127146,D
L02923,C01592,2025-07-03,153839,B
L02924,C04929,2024-04-25,31467,A
L02925,C03265,2025-09-05,274262,C
L02926,C02607,2024-01-08,68884,D
L02927,C03220,2024-08-05,147285,B
L02928,C03274,2025-12-19,102021,B
L02929,C00914,2025-08-12,217109,B
L02930,C02012,2025-02-07,144940,A
L02931,C01443,2025-07-20,56716,A
L02932,C03055,2024-10-30,122891,A
L02933,C03547,2025-04-11,5357,B
L02934,C04222,2024-03-28,239788,B
L02935,C04913,2024-01-10,127771,A
L02936,C02929,2024-11-03,132617,A
L02937,C01830,2025-03-09,6593,A
L02938,C00576,2024-06-12,9602,C
L02939,C00930,2024-08-26,264549,A
L02940,C03760,2024-11-12,211185,A
L02941,C03700,2025-10-17,115903,D
L02942,C01464,2024-11-30,100865,B
L02943,C03276,2024-01-18,278087,B
L02944,C04929,2024-03-11,134459,B
L02945,C01055,2024-06-23,87169,A
L02946,C01901,2024-12-04,49053,A
L02947,C01458,2024-09-04,175460,B
L02948,C01400,2024-07-11,227779,B
L02949,C03416,2025-02-22,207477,B
L02950,C00443,2024-11-20,260881,B
L02951,C03651,2024-11-01,76507,B
L02952,C04653,2024-07-22,207576,A
L02953,C01179,2024-05-02,222861,C
L02954,C04459,2025-07-23,227549,A
L02955,C01258,2025-03-22,192729,D
L02956,C03635,2025-12-13,209255,C
L02957,C01842,2025-05-05,298929,A
L02958,C02310,2025-03-08,188102,D
L02959,C00911,2025-09-15,173981,C
L02960,C04341,2024-05-07,261219,D
L02961,C04638,2025-07-01,132210,B
L02962,C04010,2024-02-16,89124,D
L02963,C02170,2025-05-19,20473,B
L02964,C02173,2024-04-24,86697,C
L02965,C00124,2025-02-19,25063,B
L02966,C03159,2024-08-10,263689,D
L02967,C00786,2025-09-27,83444,B
L02968,C02417,2025-05-17,16850,C
L02969,C00797,2025-11-02,268128,D
L02970,C04173,2024-04-05,55450,B
L02971,C04155,2024-04-16,192772,A
L02972,C01937,2025-09-23,77723,A
L02973,C02157,2025-09-04,98392,D
L02974,C03808,2025-09-06,25339,C
L02975,C01302,2025-11-08,114149,B
L02976,C04164,2025-11-28,43481,D
L02977,C03141,2024-02-01,200423,A
L02978,C03237,2025-05-07,188911,A
L02979,C02353,2024-03-06,184359,B
L02980,C01933,2024-06-27,65306,A
L02981,C02722,2025-03-18,245514,A
L02982,C00365,2025-07-02,30435,C
L02983,C04917,2024-07-19,35837,A
L02984,C02391,2024-02-18,240909,C
L02985,C00947,2025-11-10,40495,A
L02986,C01378,2024-09-19,44760,D
L02987,C01440,2024-05-12,117489,C
L02988,C03181,2024-12-09,27084,B
L02989,C04858,2024-06-24,173530,A
L02990,C00341,2025-01-25,64351,D
L02991,C02990,2024-01-11,183633,A
L02992,C00383,2024-07-19,262153,A
L02993,C01557,2024-01-03,186275,A
L02994,C00300,2024-08-01,234096,D
L02995,C00139,2024-11-02,275964,C
L02996,C00359,2025-06-27,62232,D
L02997,C04932,2025-07-13,13058,C
L02998,C01523,2024-11-22,172814,A
L02999,C03457,2024-07-17,129063,D
L03000,C01628,2025-08-23,77195,B
L03001,C01304,2024-04-18,193052,A
L03002,C01135,2024-10-17,75377,A
L03003,C02187,2024-04-17,154407,A
L03004,C03171,2025-02-11,205032,C
L03005,C03836,2025-07-05,52501,A
L03006,C02152,2024-02-21,19538,A
L03007,C01238,2024-04-21,120859,B
L03008,C03736,2024-10-21,8769,A
L03009,C02835,2025-08-02,298730,A
L03010,C04261,2024-07-07,105614,D
L03011,C00999,2025-12-21,57219,A
L03012,C02568,2024-03-05,95987,C
L03013,C01308,2025-07-27,225203,B
L03014,C00657,2025-04-09,199474,A
L03015,C02661,2024-09-14,122290,B
L03016,C02212,2025-10-07,222006,A
L03017,C01910,2025-09-25,5503,A
L03018,C03731,2024-11-26,177117,A
L03019,C02047,2025-05-15,280720,A
L03020,C03163,2025-11-13,196567,B
L03021,C01141,2024-07-28,279028,A
L03022,C00267,2024-03-29,135037,A
L03023,C01846,2025-11-09,161277,D
L03024,C01709,2024-01-28,127111,A
L03025,C03631,2024-08-25,268412,A
L03026,C03212,2024-12-01,66939,C
L03027,C02294,2024-03-03,83281,C
L03028,C03733,2025-07-06,213569,A
L03029,C03830,2025-05-14,177784,A
L03030,C01511,2025-06-24,132744,A
L03031,C00476,2025-04-13,109894,A
L03032,C00977,2025-08-14,253160,A
L03033,C01208,2024-02-20,195286,A
L03034,C01961,2024-04-21,209234,A
L03035,C00558,2024-10-27,68412,A
L03036,C00883,2024-03-30,181353,A
L03037,C02195,2024-08-16,164475,B
L03038,C04762,2024-05-29,99568,A
L03039,C02668,2024-05-17,297370,A
L03040,C04960,2024-05-14,164855,B
L03041,C04678,2025-04-01,204227,A
L03042,C04791,2025-08-23,71883,C
L03043,C01611,2025-05-08,126501,D
L03044,C03489,2025-06-10,294932,A
L03045,C02455,2024-11-28,104214,A
L03046,C04495,2024-12-27,12166,B
L03047,C01947,2024-06-22,201513,A
L03048,C04811,2025-08-24,267547,D
L03049,C04800,2024-07-31,32224,A
L03050,C02809,2024-12-08,219682,C
L03051,C03826,2024-03-01,8485,A
L03052,C03537,2024-03-01,70491,A
L03053,C03803,2025-11-08,281406,A
L03054,C04178,2025-06-07,264047,B
L03055,C04700,2024-08-03,199251,C
L03056,C01971,2025-08-11,251282,D
L03057,C03823,2025-09-15,222437,A
L03058,C02820,2025-07-31,133716,B
L03059,C00903,2025-11-24,126774,B
L03060,C00365,2025-02-26,39328,B
L03061,C04259,2025-12-16,167704,A
L03062,C03120,2025-02-26,208762,B
L03063,C02559,2025-01-05,201019,C
L03064,C01864,2024-07-24,213693,C
L03065,C00116,2024-10-12,228852,B
L03066,C02385,2024-04-14,10327,A
L03067,C04977,2025-11-18,197318,C
L03068,C03936,2025-12-23,87675,D
L03069,C04936,2025-06-26,227483,A
L03070,C02491,2024-08-29,154877,D
L03071,C00943,2025-05-05,235974,D
L03072,C01725,2025-10-26,33855,A
L03073,C02335,2025-12-08,271271,C
L03074,C02768,2025-05-12,126704,B
L03075,C01138,2025-03-10,280117,C
L03076,C02528,2025-04-28,218453,A
L03077,C04118,2025-03-22,184159,A
L03078,C03421,2025-01-18,32281,A
L03079,C04779,2025-05-24,152621,B
L03080,C03907,2024-06-18,131566,D
L03081,C03638,2024-11-18,32623,B
L03082,C02954,2025-04-18,236104,A
L03083,C02368,2024-08-19,94616,D
L03084,C04222,2025-11-26,140769,A
L03085,C00277,2024-12-24,282874,C
L03086,C02000,2024-10-01,164317,C
L03087,C01228,2024-02-01,36313,B
L03088,C03753,2024-06-25,220165,B
L03089,C03736,2024-03-05,58595,A
L03090,C00696,2025-12-10,34908,B
